,Birth Control,Depression,Pain,Acne,"Diabetes, Type 2",High Blood Pressure,High Cholesterol,Insomnia
Birth Control,0.442,0.316,0.279,0.338,0.309,0.3,0.282,0.272
Depression,0.316,0.468,0.358,0.303,0.343,0.381,0.315,0.418
Pain,0.279,0.358,0.448,0.28,0.32,0.338,0.327,0.35
Acne,0.338,0.303,0.28,0.515,0.278,0.277,0.288,0.263
"Diabetes, Type 2",0.309,0.343,0.32,0.278,0.441,0.354,0.34,0.327
High Blood Pressure,0.3,0.381,0.338,0.277,0.354,0.449,0.373,0.368
High Cholesterol,0.282,0.315,0.327,0.288,0.34,0.373,0.44,0.282
Insomnia,0.272,0.418,0.35,0.263,0.327,0.368,0.282,0.535
